person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
2,openalex,2026-09-25,3400,20,26,122,,98,"{""display_name"": ""Himanshu Grover"", ""orcid"": ""https://orcid.org/0000-0003-3593-2548"", ""works_count"": 98, ""cited_by_count"": 3400, ""summary_stats"": {""2yr_mean_citedness"": 5.666666666666667, ""h_index"": 20, ""i10_index"": 26}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I176692203"", ""ror"": ""https://ror.org/05hz8m414"", ""display_name"": ""Alabama Agricultural and Mechanical University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I176692203""]}], ""counts_by_year"": [{""year"": 2006, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 396}, {""year"": 2007, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 980}, {""year"": 2008, ""works_count"": 8, ""oa_works_count"": 1, ""cited_by_count"": 976}, {""year"": 2009, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2010, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 75}, {""year"": 2011, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 163}, {""year"": 2012, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 278}, {""year"": 2013, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 3}, {""year"": 2014, ""works_count"": 13, ""oa_works_count"": 0, ""cited_by_count"": 226}, {""year"": 2015, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 128}, {""year"": 2016, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2017, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 12}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 3}, {""year"": 2020, ""works_count"": 10, ""oa_works_count"": 2, ""cited_by_count"": 16}, {""year"": 2021, ""works_count"": 11, ""oa_works_count"": 1, ""cited_by_count"": 22}, {""year"": 2022, ""works_count"": 7, ""oa_works_count"": 5, ""cited_by_count"": 10}, {""year"": 2023, ""works_count"": 5, ""oa_works_count"": 5, ""cited_by_count"": 27}, {""year"": 2024, ""works_count"": 10, ""oa_works_count"": 10, ""cited_by_count"": 75}, {""year"": 2025, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 9}, {""year"": 2026, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 1}], ""openalex_author_id"": ""A5028790633"", ""openalex_author_ids"": [""A5028790633""]}"
3,openalex,2026-09-25,1122,8,7,8,,81,"{""display_name"": ""Jacob Oluwoye"", ""orcid"": null, ""works_count"": 80, ""cited_by_count"": 1122, ""summary_stats"": {""2yr_mean_citedness"": 0.14285714285714285, ""h_index"": 8, ""i10_index"": 7}, ""last_known_institutions"": null, ""counts_by_year"": [{""year"": 1986, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 1988, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 1990, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 1993, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 1994, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 49}, {""year"": 1995, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 1996, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 1997, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 84}, {""year"": 1998, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 75}, {""year"": 1999, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 10}, {""year"": 2000, ""works_count"": 8, ""oa_works_count"": 4, ""cited_by_count"": 3}, {""year"": 2001, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 7}, {""year"": 2003, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 862}, {""year"": 2005, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 1}, {""year"": 2006, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 2}, {""year"": 2008, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2009, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2011, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2012, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 2}, {""year"": 2013, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 2}, {""year"": 2014, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 1}, {""year"": 2015, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 6}, {""year"": 2016, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2017, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 3}, {""year"": 2018, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2020, ""works_count"": 5, ""oa_works_count"": 2, ""cited_by_count"": 1}, {""year"": 2021, ""works_count"": 7, ""oa_works_count"": 6, ""cited_by_count"": 2}, {""year"": 2022, ""works_count"": 7, ""oa_works_count"": 7, ""cited_by_count"": 7}, {""year"": 2023, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2024, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 1}, {""year"": 2025, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 0}, {""year"": 2026, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}], ""openalex_author_id"": ""A5071727951"", ""openalex_author_ids"": [""A5071727951"", ""A5122886120""], ""records"": [{""id"": ""A5071727951"", ""cited_by_count"": 1122, ""works_count"": 80, ""h_index"": 8}, {""id"": ""A5122886120"", ""cited_by_count"": 0, ""works_count"": 1, ""h_index"": 0}]}"
4,openalex,2026-09-25,153,6,3,22,,20,"{""display_name"": ""Ahmed Ouf"", ""orcid"": ""https://orcid.org/0000-0002-8487-6063"", ""works_count"": 20, ""cited_by_count"": 153, ""summary_stats"": {""2yr_mean_citedness"": 3.4, ""h_index"": 6, ""i10_index"": 3}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I145487455"", ""ror"": ""https://ror.org/03q21mh05"", ""display_name"": ""Cairo University"", ""country_code"": ""EG"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I145487455""]}, {""id"": ""https://openalex.org/I176692203"", ""ror"": ""https://ror.org/05hz8m414"", ""display_name"": ""Alabama Agricultural and Mechanical University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I176692203""]}], ""counts_by_year"": [{""year"": 2000, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 2}, {""year"": 2001, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 90}, {""year"": 2002, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2007, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 5}, {""year"": 2008, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 8}, {""year"": 2017, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2018, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 19}, {""year"": 2020, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 6}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 3}, {""year"": 2023, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 2}, {""year"": 2024, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 9}, {""year"": 2025, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 8}], ""openalex_author_id"": ""A5044558767"", ""openalex_author_ids"": [""A5044558767""]}"
5,openalex,2026-09-25,4,1,0,4,,1,"{""display_name"": ""Joyce Ann Pressley"", ""orcid"": null, ""works_count"": 1, ""cited_by_count"": 4, ""summary_stats"": {""2yr_mean_citedness"": 0.0, ""h_index"": 1, ""i10_index"": 0}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I176692203"", ""ror"": ""https://ror.org/05hz8m414"", ""display_name"": ""Alabama Agricultural and Mechanical University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I176692203""]}], ""counts_by_year"": [{""year"": 2022, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 4}], ""openalex_author_id"": ""A5081607544"", ""openalex_author_ids"": [""A5081607544""]}"
8,openalex,2026-09-25,516,14,16,11,,42,"{""display_name"": ""Elizabeth Shay"", ""orcid"": ""https://orcid.org/0000-0002-3529-151X"", ""works_count"": 42, ""cited_by_count"": 516, ""summary_stats"": {""2yr_mean_citedness"": 1.3333333333333333, ""h_index"": 14, ""i10_index"": 16}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I430192"", ""ror"": ""https://ror.org/051m4vc48"", ""display_name"": ""Appalachian State University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I430192""]}], ""counts_by_year"": [{""year"": 2005, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 36}, {""year"": 2006, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 45}, {""year"": 2007, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 59}, {""year"": 2008, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 15}, {""year"": 2009, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 42}, {""year"": 2011, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 49}, {""year"": 2012, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 41}, {""year"": 2014, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 5}, {""year"": 2015, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 2}, {""year"": 2016, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 141}, {""year"": 2018, ""works_count"": 5, ""oa_works_count"": 2, ""cited_by_count"": 61}, {""year"": 2019, ""works_count"": 5, ""oa_works_count"": 4, ""cited_by_count"": 5}, {""year"": 2020, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2021, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 4}, {""year"": 2022, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 4}, {""year"": 2023, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 3}, {""year"": 2024, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 4}], ""openalex_author_id"": ""A5064283770"", ""openalex_author_ids"": [""A5064283770""]}"
9,openalex,2026-09-25,597,11,11,204,,32,"{""display_name"": ""Bhuwan Thapa"", ""orcid"": ""https://orcid.org/0000-0001-5869-4779"", ""works_count"": 32, ""cited_by_count"": 597, ""summary_stats"": {""2yr_mean_citedness"": 3.7142857142857144, ""h_index"": 11, ""i10_index"": 11}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I76835614"", ""ror"": ""https://ror.org/02ymw8z06"", ""display_name"": ""University of Missouri"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I76835614""]}], ""counts_by_year"": [{""year"": 1980, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 1989, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2015, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 2}, {""year"": 2016, ""works_count"": 5, ""oa_works_count"": 2, ""cited_by_count"": 162}, {""year"": 2017, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 79}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 78}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 29}, {""year"": 2020, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 4}, {""year"": 2021, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 39}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2023, ""works_count"": 5, ""oa_works_count"": 3, ""cited_by_count"": 178}, {""year"": 2024, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 25}, {""year"": 2025, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 1}, {""year"": 2026, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}], ""openalex_author_id"": ""A5010688185"", ""openalex_author_ids"": [""A5010688185""]}"
10,openalex,2026-09-25,1790,18,23,205,,70,"{""display_name"": ""Maura Allaire"", ""orcid"": ""https://orcid.org/0000-0002-3950-0569"", ""works_count"": 68, ""cited_by_count"": 1790, ""summary_stats"": {""2yr_mean_citedness"": 6.0, ""h_index"": 18, ""i10_index"": 23}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I55732556"", ""ror"": ""https://ror.org/03efmqc40"", ""display_name"": ""Arizona State University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I55732556""]}], ""counts_by_year"": [{""year"": 2005, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 19}, {""year"": 2012, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 11}, {""year"": 2013, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 62}, {""year"": 2014, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 43}, {""year"": 2015, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 39}, {""year"": 2016, ""works_count"": 7, ""oa_works_count"": 0, ""cited_by_count"": 70}, {""year"": 2017, ""works_count"": 5, ""oa_works_count"": 1, ""cited_by_count"": 227}, {""year"": 2018, ""works_count"": 6, ""oa_works_count"": 4, ""cited_by_count"": 783}, {""year"": 2019, ""works_count"": 10, ""oa_works_count"": 8, ""cited_by_count"": 203}, {""year"": 2020, ""works_count"": 6, ""oa_works_count"": 2, ""cited_by_count"": 67}, {""year"": 2021, ""works_count"": 9, ""oa_works_count"": 7, ""cited_by_count"": 61}, {""year"": 2022, ""works_count"": 5, ""oa_works_count"": 2, ""cited_by_count"": 150}, {""year"": 2023, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 25}, {""year"": 2024, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 30}, {""year"": 2026, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 0}], ""openalex_author_id"": ""A5077677157"", ""openalex_author_ids"": [""A5077677157"", ""A5137444146""], ""records"": [{""id"": ""A5077677157"", ""cited_by_count"": 1790, ""works_count"": 68, ""h_index"": 18}, {""id"": ""A5137444146"", ""cited_by_count"": 0, ""works_count"": 2, ""h_index"": 0}]}"
11,openalex,2026-09-25,3348,31,63,120,,146,"{""display_name"": ""Sharmistha Bagchi‐Sen"", ""orcid"": ""https://orcid.org/0000-0003-0019-8400"", ""works_count"": 146, ""cited_by_count"": 3348, ""summary_stats"": {""2yr_mean_citedness"": 1.25, ""h_index"": 31, ""i10_index"": 63}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I55732556"", ""ror"": ""https://ror.org/03efmqc40"", ""display_name"": ""Arizona State University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I55732556""]}], ""counts_by_year"": [{""year"": 1989, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 68}, {""year"": 1991, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 26}, {""year"": 1993, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 13}, {""year"": 1995, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 56}, {""year"": 1997, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 56}, {""year"": 1999, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 72}, {""year"": 2000, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 29}, {""year"": 2001, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 483}, {""year"": 2002, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 274}, {""year"": 2003, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 5}, {""year"": 2004, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 84}, {""year"": 2005, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 30}, {""year"": 2006, ""works_count"": 10, ""oa_works_count"": 4, ""cited_by_count"": 229}, {""year"": 2007, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 60}, {""year"": 2008, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 48}, {""year"": 2009, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 128}, {""year"": 2010, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 139}, {""year"": 2011, ""works_count"": 7, ""oa_works_count"": 0, ""cited_by_count"": 168}, {""year"": 2012, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 70}, {""year"": 2013, ""works_count"": 7, ""oa_works_count"": 0, ""cited_by_count"": 186}, {""year"": 2014, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 12}, {""year"": 2015, ""works_count"": 23, ""oa_works_count"": 7, ""cited_by_count"": 373}, {""year"": 2016, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 224}, {""year"": 2017, ""works_count"": 5, ""oa_works_count"": 1, ""cited_by_count"": 81}, {""year"": 2018, ""works_count"": 6, ""oa_works_count"": 1, ""cited_by_count"": 51}, {""year"": 2019, ""works_count"": 6, ""oa_works_count"": 0, ""cited_by_count"": 85}, {""year"": 2020, ""works_count"": 6, ""oa_works_count"": 1, ""cited_by_count"": 141}, {""year"": 2021, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 37}, {""year"": 2022, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 42}, {""year"": 2023, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 68}, {""year"": 2024, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 9}, {""year"": 2025, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 1}], ""openalex_author_id"": ""A5043611625"", ""openalex_author_ids"": [""A5043611625"", ""A5130951657""], ""records"": [{""id"": ""A5043611625"", ""cited_by_count"": 3348, ""works_count"": 146, ""h_index"": 31}, {""id"": ""A5130951657"", ""cited_by_count"": 0, ""works_count"": 0, ""h_index"": 0}]}"
12,openalex,2026-09-25,1027,16,25,391,,82,"{""display_name"": ""Dylan S. Connor"", ""orcid"": ""https://orcid.org/0000-0002-8988-170X"", ""works_count"": 79, ""cited_by_count"": 1027, ""summary_stats"": {""2yr_mean_citedness"": 8.26923076923077, ""h_index"": 16, ""i10_index"": 25}, ""last_known_institutions"": [{""id"": ""https://openalex.org/I4210161351"", ""ror"": ""https://ror.org/05rbhea42"", ""display_name"": ""Centre for Advanced Study"", ""country_code"": ""NO"", ""type"": ""company"", ""lineage"": [""https://openalex.org/I1284510009"", ""https://openalex.org/I4210161351""]}, {""id"": ""https://openalex.org/I55732556"", ""ror"": ""https://ror.org/03efmqc40"", ""display_name"": ""Arizona State University"", ""country_code"": ""US"", ""type"": ""education"", ""lineage"": [""https://openalex.org/I55732556""]}], ""counts_by_year"": [{""year"": 2011, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 10}, {""year"": 2012, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2014, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2016, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 4}, {""year"": 2017, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 32}, {""year"": 2018, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 34}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 108}, {""year"": 2020, ""works_count"": 9, ""oa_works_count"": 9, ""cited_by_count"": 325}, {""year"": 2021, ""works_count"": 8, ""oa_works_count"": 7, ""cited_by_count"": 122}, {""year"": 2022, ""works_count"": 8, ""oa_works_count"": 7, ""cited_by_count"": 46}, {""year"": 2023, ""works_count"": 15, ""oa_works_count"": 14, ""cited_by_count"": 130}, {""year"": 2024, ""works_count"": 12, ""oa_works_count"": 9, ""cited_by_count"": 187}, {""year"": 2025, ""works_count"": 7, ""oa_works_count"": 6, ""cited_by_count"": 28}, {""year"": 2026, ""works_count"": 7, ""oa_works_count"": 5, ""cited_by_count"": 0}], ""openalex_author_id"": ""A5073838075"", ""openalex_author_ids"": [""A5073838075"", ""A5136435618""], ""records"": [{""id"": ""A5073838075"", ""cited_by_count"": 1027, ""works_count"": 79, ""h_index"": 16}, {""id"": ""A5136435618"", ""cited_by_count"": 0, ""works_count"": 3, ""h_index"": 0}]}"
13,openalex,2026-09-25,639,14,17,27,,32,"{""display_name"": ""Meagan M. Ehlenz"", ""orcid"": ""https://orcid.org/0000-0002-7357-9485"", ""works_count"": 32, ""cited_by_count"": 639, ""summary_stats"": {""2yr_mean_citedness"": 4.75, ""h_index"": 14, ""i10_index"": 17}, ""last_known_institutions"": null, ""counts_by_year"": [{""year"": 2014, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 16}, {""year"": 2015, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 97}, {""year"": 2016, ""works_count"": 6, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2017, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 125}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 83}, {""year"": 2019, ""works_count"": 5, ""oa_works_count"": 1, ""cited_by_count"": 136}, {""year"": 2020, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 141}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 13}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 8}, {""year"": 2024, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 19}, {""year"": 2025, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2026, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}], ""openalex_author_id"": ""A5071093581"", ""openalex_author_ids"": [""A5071093581""]}"
